year,tsub,sigma2
955.0,2.5402900496167975,3.0120134071521107
956.0,2.537308840036251,3.0118804679291036
957.0,2.5337305261894443,3.0115952212433283
958.0,2.529677622417509,3.0111332885718003
959.0,2.525325116659122,3.0106266951605445
960.0,2.520565605890374,3.010197209637078
961.0,2.5153884534694875,3.009922161897728
962.0,2.5097786198132574,3.0097624053783645
963.0,2.503747700616448,3.009801533803
964.0,2.497364495711108,3.0098708075888094
965.0,2.4908365220422857,3.0102133902373294
966.0,2.4842206636129527,3.010528633554707
967.0,2.4774221077103054,3.011079380678014
968.0,2.470571605420302,3.01194689070374
969.0,2.463559538541145,3.0130667088621643
970.0,2.4562846208150857,3.0142924068058345
971.0,2.448977327958643,3.015582058736065
972.0,2.441724137288215,3.016942316915553
973.0,2.4346404767647276,3.0181029922212597
974.0,2.4276927704466154,3.0191875019517975
975.0,2.420758057119226,3.020222518052035
976.0,2.413770520610812,3.0208565807005563
977.0,2.4067520853295132,3.021152494327025
978.0,2.399628163423346,3.0215211789379723
979.0,2.3924186112726993,3.021900283379334
980.0,2.38515629750054,3.022234112964062
981.0,2.3779058490532576,3.0223712877010342
982.0,2.370668882377392,3.022072083887987
983.0,2.363445492289828,3.0214702559138202
984.0,2.356210140958635,3.0207231502300527
985.0,2.34900363907767,3.0200370531576937
986.0,2.341747052479675,3.0194046718902134
987.0,2.3345663543408257,3.018673579849063
988.0,2.32755499615923,3.0176791206502576
989.0,2.3206780598916756,3.01650799109223
990.0,2.313914828627465,3.0150505246088013
991.0,2.3072261426884815,3.0130511595409466
992.0,2.300631035528388,3.0106952220457495
993.0,2.2941714973375436,3.0081948864843238
994.0,2.2878521385063806,3.0056555773905433
995.0,2.2818748156582975,3.003119646556575
996.0,2.276220814744618,3.0003712968160445
997.0,2.2707625888694527,2.9975888812289817
998.0,2.265390437605239,2.994856050479058
999.0,2.2599494656039756,2.992216031519844
1000.0,2.254526562528974,2.9895267772702594
1001.0,2.24920531096812,2.986792936103398
1002.0,2.2439079919875757,2.984055788890297
1003.0,2.2387483461537436,2.9815436255647843
1004.0,2.2337517443143575,2.9793613537424206
1005.0,2.2289173701784177,2.9772518749333057
